source, question, answer, rating
3-4-18-generation,-12301-240-1-3-40-1-240-13-4012-40-2-3-40-1-23013402-340-12-301240-23402-3-4023-40-1-2-40-1-2-3012-300000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-12401-230-13-4012-40-2-3-40-2-340-12-30-23-40-23401-3-401-2-30-1-24013-40-123012301240-1-2-30-1-2-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-340-2340-1-23012-40-1-34012-30-1-2-4013-40-134012301-3-4023401340-12-301-2-402-3-40-2-34023-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-24012-4013-40-12-40-23-40-1230-1340-13-4012-30-1-2-3023-401-2-401-2-301-230-12-301-340-23401-3-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,12-30-1-230-1-2-30-1230-1-2401-2402-3-40-12-40-134023-40-13-40-1-3-40-1-34012-4023401230-12402-3400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,2-3-4012-30-12-402340-1-230-1-340-2-34012301-3-40-1230-2340124013-401-2-4013401-230-124023-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-12-4012302340-1-2-301-2-40-2-340-23401340-1-24012-40-12-30-1-2-40-123023-4013-40-1-3-40-13402-3400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1340-124012301-240-1-2-4013-401-2-40234012-30-23-40-1-240-12-40-13-402-3-40-123023-401-230-12-300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-24013-401230-23401-340-1-2-401-3-402340-23-40-2-3-40-1-2301-2-30-12-30-2-3401340-12-40-1-2401-2-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,23-4013-402-3402340-12-301-340-2-3-40-1-340-12-40-13-40-1240-1-2-4012-30-23-401230-1-2401-230-1-3-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-13-401-3-40-1340-2-340-1-2-402340-12-401-2-3012-30-1-2402-3-40-1-2301-240-234012301-2-402-34013400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-2-3-402-3401-2-301-230-2-340-1-3-40-1-2-30-1-2-401-2-4012-30-13-4023401-340-1-340-12-3012401-24012-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-1-2-30-1230-1-23013-40-2-3401-3-40-234023402-3-401-2-3012401-230123012-30-1340-1-3-402-340-23-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,23-40-12401-23013-4023401-3-402-340-1-230-2340-1-3-40-2-3-401-240-12-401-2-302-3-40-12301340-1-2400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-12-4012-301-2402-3-40-2-3-40-12401-230-134013-402-340-13-401-3-40-1-2401340-123023401240-1-2300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1230-2-340-2-3-402-3-4012-301-2-40-1230-12-40-12-30-23-4013-401240-1-2-30-13-4023401-3-401-2-3012-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-12-3012301-2-402-340-1-23012-40-2340-13-40-12-40-134023-401-230-1-3401-2-301-34012-3013-4013400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,12401-2-401230-13401-2-3013-40-23-401-2402340-12401-340134012-3023-40-2-340-1-3-40-1-2-30-12-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1-240-2-340-1-34023-401-3-40-1-3-4012-4012301-2-302-340-2-3-401-2-401-2401340-1340-123012-3023400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,1-230134012301240-1230-12-40-23-401-2-3012-30-1-2-40-234023-40-1-3-40-1-2302340-1-2-30-13-401-2-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,1-340-13-4023401-24023-4012-30-1-240-1-230-12-30-2-3-401-230134012-40123012402-3401-2-40-1-2-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-12-40-12-30-1-2-40-1-2401-2-30-2-3-4023401240-1-340-124023-401-23012-4013401230-23402-3-4013-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-2-3012-401-340-12-30-1-2401-230-12401-240-13-402-340-12-401230-134023-401-3-4012-30-2-3-4013-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1-240-1-2-301-240-12-40-12-302-340-2-3-402-3-40124012-30-13-401-2-401-3-401-230-1-3-401-2-30-2-340-12300000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,124012-401-2402340-1-3-40-1-2-30-13401-3-40-2340-1-230-1240-2-3-40-1-340-12-40-23-4023-4012-3013-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,12-30-1-3401340-1-230-13-40-2340-12-301-2-40-124023-40-1340-12301-240-2-340124013-40-23-40-12-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,12-401-2-3013-40-1-230-1340-1240-2-3-40-2-3402-3-40-123012-3023-4012302340-12-30-13-402-3401-3-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-2-3-40-13-40-1-2-30-1-2-40-1-24012-301-340-12401-2-401-230134012402-3-40-12302340-1-2301-240-23-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,13-40-2-3-40-1240-1-2401-3-40-13-401-2-4013402-3-40-12301230-1-2-40-1-3-40-23401240-2-3402-340-13400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,234012301-2-40-12402-340-2340-1230-1-2-30-13-402-3-40-1-340-134023-401-2-3012-40-1-23012-30-12-300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1230-2-34012402-3-401-2-30-1-2401-2-4012-40-1-2-40-2340-12-302-340-2-3-40-1240-12-40-23-401-34023400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,23-4012302-3-401-3-40-1-24012-301-2-30-1-23013-4013402-340-234012-40-2-3-401-240-13401-340-2-3400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,2-3-40-23-401340-1-2-30-12301-2-30-1-340-13401-3-40-2340-1-2-40-13-4013-401-240-1240-2-34023-4012300000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,1-2402-340-1-34023-4023401-2-40-1-240-12-30-12-401-230-23401240-12301-3-401-340-13-4012-40-1-2300000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-12-302-34012-301-3-40-1-240-12-402-3-40-1-3-40-23401240-23-40-2-340-13-40-1-2-301-2-301230-1230-12400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-2340-1240-1-23023-401-2-40234012-302-340-134012-40-12-40-23-40-1-240-1-340-1-3-40-1-2-401-2-30-2-3-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-12401-230-1-3402340-13401-240-12-30-1-230-123013-40-13-40-23-4013401240-1-2-301-340-1-240-1-3-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-2340-1230-134023401240-1-3401-2-40-1-230-1-2-4023-40-1-24013-4012-40-12-30-23-40-1240-2-3-402-3-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,1-2-3012-402-3-4013-401-240-1-2-401-2-40-13-40-2-340-234012-3013401-3-4023-401-2301230-2-3-40-12-300000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-1-2-3012402-340-2340-1240-1-240-13-40-2-3-40-12-402340-1-23013-40-1-3401-2301-3-40-134023-401-3400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,23-40-23-40-1-2-402-340-1-340-13-4013-40-12-30-1230-1-2-30-2-3-40-2340-1-3-401-23012-302340-1-230-2-3400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-240-1-230-23-402-3-4023-4012301-3-40-13-401-340-12-402340-1-2401-2-401240-1340-2-340-1-340-12400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,1230-1-2-30-1230-12-40-1-230-2-3-401-230-12-302-3-401240-13-40-134013401-3-402-34013-4023401-2-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-1-2-4023-40-1-340-1-2302-3-40-1-2-301-340-234012401230234012-401-2302-3401-2-301-3-401-2-40-12400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-240-2-3-40-1-3402-340-1340-124023-40-12302-3-40134012-3013-401-2-402340-1-3-40-1-240-2340-12-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-124023-4012-401-2402-340-1-2-30-1340-23402-3-40-1-240-13-4012401230-123012-30-2-3401-2-40-1-2-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-2-40-1240-1-2402-340-12-302-3-401340-1-340-12301-2301240-1-2301-340-23401-24023-40-1-3-40-23-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-2-340-12301340-1-340-23-401-240-12-402-340-1-23023-40123013-401240234012-30-12401-2-30-13400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-12-4023-401340-12-30-23-40-2-34012-40-12301-2301-2-4012-30-1-2-30-1-2-401-340-2-3-402-3-401-2401-3-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,1-2-40-1340-1240-2-3-40-1-3-4012302340-2-340-12-401340-1-2301-340-1-2-301-3-4012-40-13-40-234012400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-2-301-2-40-2-3-40-1230-1-3-40-12402-3-40-2-340-23401340-1-2-401240-1-2402340-23-4012301-24012-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1-2-40-13402-3-401340-2-340-12-40-12302-3402340-124012-401-3-40-2340-2-3-4012401-2-401-240-1-2300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1-340-13-40-1-2-301-3401-2401-230-13402-3-40-12-40-12401240-2-3-4023-40-1230-23-4013-401-2-301-3-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-2-40-1340-1-2-30-1-23023-4012402-3-401-2401-2301340234013-402-340-1-2-401-2-30-1-240-23-4012-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1-2-30-1-230-1-2-40-12-40-2-3-40-23-40-12401340-1-240-13-401-34013-40-2-3401-23012401-2-3023402-3400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,1-3-4023-4013-401-340-13-401-230-12-40-12-301-2-4012-402340-1-2302-340-1-2-40-1-2401-240-1240-2-3400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-23-401-3-401-340-12-301-24012-3013-402340-13-40-1230-1-2-30-1-3-40-12401240-2-3401-2-3012-401-2300000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-124023-4013-402-3-401340-1340-1-3-40-12-40-1-3402340-1-230-23402-340-1-2-40-23-40-1-2401-3401-2-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1240-2340-1-2-301-2401-340-1-3401-230-134012-40-2-340-1240-12-3023-401230-1-2301-2-302-3-401-2-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1340123012-40-2340-12-301-23023-40-1-2-301240-12-401-340-1-3401-3-402-340-1240-13-40-1-2-4023400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-2-340-12-302-3402340-1240-12-40-1-2-4012-401-2-40-1-340-1-2301-340-13401340-1-24013-401-2401-2300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-23-4023-40-1-2301-240-2-340-2-3-401-3-40-1340-13-4012-40-1-2-30-1-3-401240-1-340-12-4023401-2302-3-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-240-1-340-2-3-40-23-4012-401-2-401340-23402-3-4012401-3-40-1-3-40-1-240-12-4012-30-123013-4023400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,12-30-1-240-2-3-40-1340-1-34013-401-240-12302-34023-40-1-2-4012401-3-40-13-40-1-3-401-2-30-2-340-23-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-12-401-2-40-1-2-301-240-12401-2-3023-4012302-3401340234012-40-1-2-401240-1230-23-40-12-30-1-2300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-13-40-2-34012-401340124013-40-12401-2-30-1-340-12-30-1-2401-230-1-2301-3-40-2340-23-401-24023400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-1-2-30-13-4023-402-3-40-12-401-2-30-1-2401-3-40-1-3-401-2-402-3402340-123013-401240-2340-23-40-1-3400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-340-1-34013-401-2-30-23-40-12-30-134023-40-1-3-4012-40-1230-13-40-2340-2-340-1240-1-2-30-2-3-401-3-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-1-2-40-1230-1-2402-34012302-3-40-23-40-13401240-1-2-3023-401-3-401-230-12-401-2-30-2340-12-30-1-3400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1230-1-240-13-40-12-30-2-3-4012301-340-12-402-34012-4013-40-1-3-40-2-340-1-2-3023-401-2-401-230-12400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1340-1-2-30-12401-2-402-340-1-230-13-401-2301-3401-240-23-401-3-40134013-40-2-34012402340-12-300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,12-30-2-3-40-1-3-401-2-30-23401-3402-3-40-1-2-40-1-34023402-34012401-2-40-1-2401230-12-401340-13400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-13402-3-4012-30-2-3-40-1-230-23-40-1-2-40-12302-340-2-340-1-3-40-1-3401-340-12-401230-13-401340-1-2-300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-12-401-230-2340-123012402340-1240-13401-2-401-240-2-3-40-1-3-402-3-40-1-340-1-240123012-301-3400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,1-2-301-2402-3-402340-1240-12-30-123023-401340-1-3-40-2-3-40124012-40-2340-12-40-23-40-1-34012-300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-12-30-1-24023401-3-401230-1230-1-2-30-234023-40-23-40-134013-4012401-2401-2301-340-1-2-40-1-2300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,12-40-13-40-12-3023-40-1240-1-2-40-23-402-3-401-230-1-240-2-3-40-2-3401-340-1-340-1-2-301-3-40-1-230-23400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-1-2-402-3401-23012-30-13-401340-2340-1-2-302-3-4013-401-3-401-2-4023-401-240-1340-2-3401-2-30-1-3-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1230-2340-13-402-3-401-3-4012-40-1-2-4012-301-340-13402-34013-40-2-3-40-12-30-2-3401-2-301-23023-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-12-30-12-40-12402-34023-40-1-2-40-1-2-301-340-2-34023401-2-3012-401230-13-4013-40-2-3-401-230-13400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-2-3-40-12-302340-1-3-40-12-40-13-4012301-2-40-1-2-40-13401-340-23-40-1-23013-401-3-40-1-2-30-2-3401-2300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-3401-2301340-2-3-402-3-40-1-340-1230-12-40-1-240-12401-3-40-2-34012-301230-23-40-13-40-1-3-4013-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,123023-40-1-3-401-2-30-1-240-124012-302340-2-340-1-23013402-340-1-2-302-3-401-23013-4012401-2400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-2-402340-1-2-30-1-340-123012-302-3-40-23-40-2-3-40-1-24012-401240-2340-13-401-3401-3-4023-40-1-2300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-123013-40-12-402340-1-3-40-23402-3-40-23-40-1-2-30-1-2-401-3-4012-4012-30-134013401-230-124023-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-2-34012-402-340-23402-3-40-1-2301-240-1-3-40-1-2401-3-40-12-4013-40-1340-23-4012301-2-30-12-301-2300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-23-401-3402-340-1-34013401240-12-402-3-4012-30-1-2-30-1-3-401-230-12301-2-40-1-2-401-3-4023-4013-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-13401-2-40-1-2-30-13-40123013-4023-401-3401-23012-401-3-4012-302-340-1-240-2-3402-3-40-1-2-401-2400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,2-3-401-230-1340-13-40-2-340-12-40-1-2-30-124023-402340-1-3401-2-301-2-4013-4012-40-1-2301-3-40-1-2400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-13-401-2-40-1-2-301240-12-40-1-230-1340-1-2-40-23-40-1-2402-34012302340-2-340-12-30-2340-2-3-40-12300000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-1-2-30-2-3-40-123012-30134013-401240-2-340-12401-230-1-240-23-40-1-2-402-3-40-1-3-4023401-2-40-12-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-2-3-401230-1-2401-240-1-3-401-2-402-3-401-2-3012-301-3-401-230-1-2-401-340-1340-2-340-12-3013-4013400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,1-2-40-1-3-402340-1-2-301-3-402-3-40-1240-13-40-2-34013-40-12-402-3401-34012-30-1-24023-40-1340-1-3400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-1340-1-3402-3-4023-40-2340-12401-23012-30134012-40-2-340-1-2-30-1-240-1230-23-4013-401240-12-300000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-1-340-1-3-40-12-4012-401-3-40-13401-2-3013-40-1-230-13-402-3-401-340-1230-1-2-30-2-3-402-3401240-1-2400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-1-2-30-13401-2-30-2-3-40-2-3401-240124023-401-3-401-230-1-3-401340-13-40-1-3401230-1240-12-4012-300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-2-30-1340-12-301-2-401340-1-230-23-401230234012-301240-1-2-30-12401-3-40-2-3-402-3402-3-40-2-3400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
